Species Name ,Order,Brain Mass (g),Cranial Capacity (cc),Body Mass (g),EQ
Chrysochloris stuhlmanni,Afrosoricida,1.06,1.02,50.05,1.02
Potamogale velox,Afrosoricida,4.05,3.9,650,0.58
Microgale cowani,Afrosoricida,0.42,0.41,15.2,0.98
Limnogale mergulus,Afrosoricida,1.15,1.11,92,0.7
Microgale talazaci,Afrosoricida,0.79,0.76,50.4,0.76
Microgale dobsoni,Afrosoricida,0.56,0.54,32.6,0.74
Chrysochloris asiatica,Afrosoricida,0.7,0.68,49,0.69
Oryzorictes hova,Afrosoricida,0.58,0.56,44.2,0.61
Setifer setosus,Afrosoricida,1.51,1.46,248,0.44
Hemicentetes semispinosus,Afrosoricida,0.83,0.8,110,0.44
Tenrec ecaudatus,Afrosoricida,2.84,2.74,907,0.31
Echinops telfairi,Afrosoricida,0.62,0.6,87.5,0.39
Helarctos malayanus,Carnivora,385.5,372.1,45020,2.32
Ursus americanus,Carnivora,248,239.38,25990,2.25
Arctocephalus galapagoensis,Carnivora,291.25,281.13,45950,1.73
Zalophus californianus,Carnivora,405,390.93,91000,1.44
Phoca vitulina,Carnivora,315,304.05,73635,1.32
Bassariscus sumichrasti,Carnivora,41.9,40.44,2722,2.05
Lobodon carcinophagus,Carnivora,586.25,565.88,222250,1.07
Vulpes vulpes,Carnivora,49.64,47.92,3722.71,1.92
Odobenus rosmarus,Carnivora,1410.25,1361.25,1022225,0.83
Ommatophoca rossii,Carnivora,495,477.8,179400,1.06
Arctocephalus gazella,Carnivora,340,328.19,96600,1.16
Lynx rufus,Carnivora,65,62.74,6350,1.69
Arctocephalus philippii,Carnivora,415,400.58,140000,1.07
Hydrurga leptonyx,Carnivora,712.5,687.74,345500,0.94
Arctocephalus tropicalis,Carnivora,326.25,314.91,101250,1.07
Potos flavus,Carnivora,33.08,31.93,2241.5,1.87
Otaria byronia,Carnivora,506.25,488.66,222000,0.93
Arctocephalus forsteri,Carnivora,320,308.88,109690,0.99
Arctocephalus australis,Carnivora,307.5,296.81,103750,0.99
Nasua nasua,Carnivora,37.5,36.2,3187.5,1.63
Panthera leo,Carnivora,259.5,250.48,84000,0.98
Ursus arctos,Carnivora,335.97,324.29,131022.67,0.91
Phoca fasciata,Carnivora,248.75,240.11,87580,0.91
Phoca largha,Carnivora,253.75,244.93,91500,0.9
Urocyon cinereoargenteus,Carnivora,37.28,35.98,3749,1.44
Monachus schauinslandi,Carnivora,370,357.14,173000,0.82
Neophoca cinerea,Carnivora,388.75,375.24,189275,0.8
Ailurus fulgens,Carnivora,46.8,45.17,5590,1.34
Callorhinus ursinus,Carnivora,334.83,323.2,150916.67,0.82
Arctocephalus pusillus,Carnivora,369.38,356.54,178750,0.8
Leopardus pardalis,Carnivora,63.1,60.91,9525.5,1.21
Monachus monachus,Carnivora,480,463.32,280500,0.74
Leptonychotes weddellii,Carnivora,564.17,544.56,378666.67,0.69
Ursus maritimus,Carnivora,507,489.38,317000,0.71
Canis mesomelas,Carnivora,54.8,52.9,8000,1.2
Procyon lotor,Carnivora,41.07,39.64,4975.67,1.28
Erignathus barbatus,Carnivora,460,444.02,281000,0.71
Phoca hispida,Carnivora,196.25,189.43,69085,0.86
Cystophora cristata,Carnivora,455,439.19,282840,0.7
Nasua narica,Carnivora,44.17,42.64,6250,1.16
Crocuta crocuta,Carnivora,175,168.92,62370,0.83
Paradoxurus hermaphroditus,Carnivora,25.95,25.05,2773.5,1.25
Melursus ursinus,Carnivora,267,257.72,136080,0.71
Puma concolor,Carnivora,154,148.65,54432,0.81
Mustela erminea,Carnivora,4.57,4.41,156.43,1.88
Lynx canadensis,Carnivora,69.5,67.08,14969,0.95
Eumetopias jubatus,Carnivora,661.25,638.27,643775,0.55
Phocarctos hookeri,Carnivora,393.75,380.07,273500,0.62
Phoca caspica,Carnivora,162.5,156.85,62750,0.76
Panthera pardus,Carnivora,135,130.31,48000,0.78
Halichoerus grypus,Carnivora,307.5,296.81,194000,0.62
Otocyon megalotis,Carnivora,26.09,25.18,3335,1.1
Phoca sibirica,Carnivora,187.5,180.98,89500,0.68
Leptailurus serval,Carnivora,54.1,52.22,11340,0.91
Mirounga leonina,Carnivora,1205,1163.13,2006500,0.43
Genetta tigrina,Carnivora,15.35,14.82,1525,1.16
Ichneumia albicauda,Carnivora,28.3,27.32,4400,0.97
Panthera tigris,Carnivora,269.73,260.36,195000,0.54
Mustela putorius,Carnivora,7.87,7.6,915,0.87
Mephitis mephitis,Carnivora,10.15,9.8,1980,0.63
