Species Name ,Order,Brain Mass (g),Cranial Capacity (cc),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Chrysochloris stuhlmanni,Afrosoricida,1.06,1.02,50.05,1.02,0.089494829,0.787771094,Mace 1981; Stephan 1981; Silva & Downing 1995,
Potamogale velox,Afrosoricida,4.05,3.90,650.00,0.58,0.068060218,0.648655675,Stephan 1981; Stolzenburg 1989; Silva & Downing 1995,
Microgale cowani,Afrosoricida,0.42,0.41,15.20,0.98,0.075574528,0.641110911,Stephan 1981; Silva & Downing 1995,
Limnogale mergulus,Afrosoricida,1.15,1.11,92.00,0.70,0.066438096,0.595957342,Stephan 1981; Silva & Downing 1995,
Microgale talazaci,Afrosoricida,0.79,0.76,50.40,0.76,0.066721051,0.587433622,Stephan 1981; Silva & Downing 1995,
Microgale dobsoni,Afrosoricida,0.56,0.54,32.60,0.74,0.062261156,0.540813467,Stephan 1981; Silva & Downing 1995,
Chrysochloris asiatica,Afrosoricida,0.70,0.68,49.00,0.69,0.06018022,0.529383526,Stephan 1981; Silva & Downing 1995,
Oryzorictes hova,Afrosoricida,0.58,0.56,44.20,0.61,0.053215237,0.466621411,Stephan 1981,
Setifer setosus,Afrosoricida,1.51,1.46,248.00,0.44,0.046660286,0.431614443,Stephan 1981; Silva & Downing 1995,
Hemicentetes semispinosus,Afrosoricida,0.83,0.80,110.00,0.44,0.042837959,0.386395902,Stephan 1981; Silva & Downing 1995,
Tenrec ecaudatus,Afrosoricida,2.84,2.74,907.00,0.31,0.038652031,0.372202016,Silva & Downing 1995; Stephan 1981; Warncke 1908,
Echinops telfairi,Afrosoricida,0.62,0.60,87.50,0.39,0.036970393,0.3311135,Stephan 1981; Silva & Downing 1995,
Helarctos malayanus,Carnivora,385.50,372.10,45020.00,2.32,0.447295961,4.861509271,Count 1947,
Ursus americanus,Carnivora,248.00,239.38,25990.00,2.25,0.406984976,4.348684931,Spitzka 1903; Silva & Downing 1995,
Arctocephalus galapagoensis,Carnivora,291.25,281.13,45950.00,1.73,0.333605523,3.628145163,Bininda-Emonds 2000,
Zalophus californianus,Carnivora,405.00,390.93,91000.00,1.44,0.301418125,3.348268046,Bininda-Emonds 2000,
Phoca vitulina,Carnivora,315.00,304.05,73635.00,1.32,0.267947571,2.956991046,Bininda-Emonds 2000; Count 1947; Crile & Quiring 1940; Silva & Downing 1995,
Bassariscus sumichrasti,Carnivora,41.90,40.44,2722.00,2.05,0.285541395,2.844927352,Count 1947,
Lobodon carcinophagus,Carnivora,586.25,565.88,222250.00,1.07,0.248367724,2.83640227,Bininda-Emonds 2000,
Vulpes vulpes,Carnivora,49.64,47.92,3722.71,1.92,0.277644692,2.793229164,Crile & Quiring 1940; Warncke 1908; Silva & Downing 1995,
Odobenus rosmarus,Carnivora,1410.25,1361.25,1022225.00,0.83,0.228108636,2.731229785,Bininda-Emonds 2000,
Ommatophoca rossii,Carnivora,495.00,477.80,179400.00,1.06,0.240056074,2.72333938,Bininda-Emonds 2000,
Arctocephalus gazella,Carnivora,340.00,328.19,96600.00,1.16,0.243684446,2.711956203,Bininda-Emonds 2000,
Lynx rufus,Carnivora,65.00,62.74,6350.00,1.69,0.25955691,2.654844887,Count 1947,
Arctocephalus philippii,Carnivora,415.00,400.58,140000.00,1.07,0.235348137,2.649484027,Bininda-Emonds 2000,
Hydrurga leptonyx,Carnivora,712.50,687.74,345500.00,0.94,0.228503895,2.645489658,Bininda-Emonds 2000,
Arctocephalus tropicalis,Carnivora,326.25,314.91,101250.00,1.07,0.226994698,2.529901028,Bininda-Emonds 2000,
Potos flavus,Carnivora,33.08,31.93,2241.50,1.87,0.254788232,2.523286925,Count 1947; Crile & Quiring 1940; Silva & Downing 1995,
Otaria byronia,Carnivora,506.25,488.66,222000.00,0.93,0.214627698,2.450999834,Bininda-Emonds 2000,
Arctocephalus forsteri,Carnivora,320.00,308.88,109690.00,0.99,0.211677178,2.36504706,Bininda-Emonds 2000,
Arctocephalus australis,Carnivora,307.50,296.81,103750.00,0.99,0.210681346,2.349861616,Bininda-Emonds 2000,
Nasua nasua,Carnivora,37.50,36.20,3187.50,1.63,0.231325577,2.316067338,Count 1947; Spitzka 1903; Silva & Downing 1995,
Panthera leo,Carnivora,259.50,250.48,84000.00,0.98,0.203135857,2.250918761,Warncke 1908,
Ursus arctos,Carnivora,335.97,324.29,131022.67,0.91,0.1986644,2.231918645,Count 1947; Crile & Quiring 1940; Sherwood/this study; Silva & Downing 1995,
