Order	Suborder	Family	Species	MYA	Actual MYA	5Mya_SD_oxy	5Mya_M_oxy	5Mya_slope_oxy	5Mya_SD_carbon	5Mya_M_carbon	5Mya_slope_carbon	1Mya_SD_oxy	1Mya_M_oxy	1Mya_slope_oxy	1Mya_SD_carbon	1Mya_M_carbon	1Mya_slope_carbon	400k_SD_oxy	400k_M_oxy	400k_slope_oxy	400k_SD_carbon	400k_M_carbon	400k_slope_carbon	200K_SD_oxy	200K_M_oxy	200K_slope_oxy	200K_SD_carbon	200K_M_carbon	200K_slope_carbon	100k_SD_oxy	100k_M_oxy	100k_slope_oxy	100k_SD_carbon	100k_M_carbon	100k_slope_carbon	40k_SD_oxy	40k_M_oxy	40k_slope_oxy	40k_SD_carbon	40k_M_carbon	40k_slope_carbon	CC	mass	EQ	Fossil	Social
Artiodactyla	Suiformes	Suidae	Hylochoerus  meinertzhageni	-2.1	-2.1	0.34	3.151	0.167	0.549	0.035	-0.082	0.31	3.497	0.491	0.525	-0.002	-0.08	0.279	3.625	0.026	0.546	-0.024	-0.311	0.259	3.636	0.769	0.547	-0.075	-0.201	0.262	3.691	-0.142	0.585	-0.069	-0.966	0.255	3.645	-1.54	0.496	-0.065	3.751	140	200.54	0.22	No	Solitary
Artiodactyla	Suiformes	Suidae	Potomochoerus porcus	-2.1	-2.1	0.34	3.151	0.167	0.549	0.035	-0.082	0.31	3.497	0.491	0.525	-0.002	-0.08	0.279	3.625	0.026	0.546	-0.024	-0.311	0.259	3.636	0.769	0.547	-0.075	-0.201	0.262	3.691	-0.142	0.585	-0.069	-0.966	0.255	3.645	-1.54	0.496	-0.065	3.751	138	130.98	0.3	No	Stable
Artiodactyla	Suiformes	Suidae	Sus scrofa	-2.1	-2.1	0.34	3.151	0.167	0.549	0.035	-0.082	0.31	3.497	0.491	0.525	-0.002	-0.08	0.279	3.625	0.026	0.546	-0.024	-0.311	0.259	3.636	0.769	0.547	-0.075	-0.201	0.262	3.691	-0.142	0.585	-0.069	-0.966	0.255	3.645	-1.54	0.496	-0.065	3.751	180.4	124.64	0.41	No	Stable
Artiodactyla	Ruminanta	Cervidae	Cervus elaphus	-4.2	-4.2	0.234	2.948	0.061	0.652	0.187	-0.318	0.214	3.009	0.052	0.505	-0.133	-0.209	0.179	2.991	-0.275	0.396	-0.154	0.815	0.175	2.969	0.124	0.388	-0.076	1.032	0.173	2.988	-0.231	0.448	0	-2.111	0.159	2.98	-3.545	0.435	-0.018	0.847	311.1	141.89	0.64	No	Facultative
Artiodactyla	Ruminanta	Cervidae	Cervus nippon	-4.2	-4.2	0.234	2.948	0.061	0.652	0.187	-0.318	0.214	3.009	0.052	0.505	-0.133	-0.209	0.179	2.991	-0.275	0.396	-0.154	0.815	0.175	2.969	0.124	0.388	-0.076	1.032	0.173	2.988	-0.231	0.448	0	-2.111	0.159	2.98	-3.545	0.435	-0.018	0.847	201	46	0.98	No	Facultative
Artiodactyla	Tylopoda	Camelidae	Camelus bactrianus	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	576	400	0.54	No	Stable
Artiodactyla	Suiformes	Suidae	Phacochoerus africanus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	131.7	126.01	0.3	No	Stable
Artiodactyla	Ruminanta	Cervidae	Mazama americana	-6.1	-6.099	0.224	2.761	0.046	0.399	0.901	-0.102	0.22	2.809	0.144	0.405	0.745	-0.077	0.23	2.837	0.364	0.479	0.715	-1.123	0.236	2.873	1.01	0.567	0.618	-3.301	0.238	2.908	3.248	0.661	0.483	-7.63	0.2	2.992	-4.503	0.725	0.247	-5.082	56	34.61	0.34	No	Stable
Artiodactyla	Ruminanta	Cervidae	Odocoileus virginianus	-6.1	-6.099	0.224	2.761	0.046	0.399	0.901	-0.102	0.22	2.809	0.144	0.405	0.745	-0.077	0.23	2.837	0.364	0.479	0.715	-1.123	0.236	2.873	1.01	0.567	0.618	-3.301	0.238	2.908	3.248	0.661	0.483	-7.63	0.2	2.992	-4.503	0.725	0.247	-5.082	143.8	101.79	0.38	No	Facultative
Artiodactyla	Ruminanta	Cervidae	Dama dama	-10	-9.9894	0.358	2.279	0.208	0.394	1.368	-0.203	0.202	2.605	0.211	0.194	1.02	0.114	0.182	2.671	0.162	0.18	1.055	0.277	0.16	2.686	-0.203	0.178	1.087	-0.173	0.171	2.688	-0.634	0.207	1.082	-1.417	0.14	2.674	5.798	0.197	0.996	-8.998	215	115.38	0.52	No	Facultative
Artiodactyla	Suiformes	Suidae	Babyrousa babyrussa	-10	-9.9894	0.358	2.279	0.208	0.394	1.368	-0.203	0.202	2.605	0.211	0.194	1.02	0.114	0.182	2.671	0.162	0.18	1.055	0.277	0.16	2.686	-0.203	0.178	1.087	-0.173	0.171	2.688	-0.634	0.207	1.082	-1.417	0.14	2.674	5.798	0.197	0.996	-8.998	127	133.23	0.27	No	Facultative
Artiodactyla	Ruminanta	Cervidae	Alces alces	-11	-10.999	0.38	2.196	0.23	0.388	1.42	-0.18	0.241	2.543	0.089	0.28	1.082	0.119	0.197	2.537	-0.005	0.217	1.123	-0.483	0.172	2.523	0.91	0.148	1.06	-0.806	0.164	2.563	1.133	0.123	1.023	-1.446	0.184	2.583	10.676	0.076	0.977	0.586	435	200.54	0.69	No	Solitary
Artiodactyla	Ruminanta	Cervidae	Capreolus	-11	-10.999	0.38	2.196	0.23	0.388	1.42	-0.18	0.241	2.543	0.089	0.28	1.082	0.119	0.197	2.537	-0.005	0.217	1.123	-0.483	0.172	2.523	0.91	0.148	1.06	-0.806	0.164	2.563	1.133	0.123	1.023	-1.446	0.184	2.583	10.676	0.076	0.977	0.586	100.2	68.48	0.36	No	Solitary
Artiodactyla	Ruminanta	Cervidae	Rangifer tarandus	-13.6	-13.6	0.289	1.822	0.038	0.353	1.567	0.139	0.326	1.957	0.456	0.297	1.703	-0.118	0.334	2.109	1.226	0.312	1.65	1.264	0.256	2.252	-0.783	0.288	1.762	1.185	0.237	2.212	-0.607	0.327	1.799	5.18	0.256	2.207	0.653	0.407	1.949	14.19	270.4	145.49	0.55	No	Facultative
Artiodactyla	Tylopoda	Camelidae	Lama glama	-13.6	-13.6	0.289	1.822	0.038	0.353	1.567	0.139	0.326	1.957	0.456	0.297	1.703	-0.118	0.334	2.109	1.226	0.312	1.65	1.264	0.256	2.252	-0.783	0.288	1.762	1.185	0.237	2.212	-0.607	0.327	1.799	5.18	0.256	2.207	0.653	0.407	1.949	14.19	232	80	0.74	No	Stable
Artiodactyla	Tylopoda	Camelidae	Lama pacos	-13.6	-13.6	0.289	1.822	0.038	0.353	1.567	0.139	0.326	1.957	0.456	0.297	1.703	-0.118	0.334	2.109	1.226	0.312	1.65	1.264	0.256	2.252	-0.783	0.288	1.762	1.185	0.237	2.212	-0.607	0.327	1.799	5.18	0.256	2.207	0.653	0.407	1.949	14.19	178	55	0.75	No	Stable
Artiodactyla	Ruminanta	Antilocapridae	Antilope cervicapra	-13.7	-13.7	0.282	1.81	0.021	0.354	1.556	0.141	0.322	1.915	0.428	0.285	1.687	-0.187	0.346	2.034	1.58	0.307	1.593	0.714	0.305	2.152	2.574	0.285	1.675	0.715	0.266	2.29	-1.211	0.243	1.717	-1.201	0.186	2.244	-1.004	0.237	1.613	6.267	165	79.85	0.53	No	Facultative
Artiodactyla	Ruminanta	Giraffidae	Samotherium	-13.7	-13.7	0.282	1.81	0.021	0.354	1.556	0.141	0.322	1.915	0.428	0.285	1.687	-0.187	0.346	2.034	1.58	0.307	1.593	0.714	0.305	2.152	2.574	0.285	1.675	0.715	0.266	2.29	-1.211	0.243	1.717	-1.201	0.186	2.244	-1.004	0.237	1.613	6.267	420	630	0.28	Yes	N/A
Artiodactyla	Ruminanta	Cervidae	Muntiacus muntjak	-15.5	-15.4995	0.261	1.837	-0.083	0.452	1.31	0.232	0.242	1.736	0.245	0.293	1.678	0.192	0.252	1.765	-0.022	0.284	1.68	-0.61	0.198	1.775	0.342	0.262	1.63	0.134	0.172	1.796	-2.184	0.257	1.653	-1.099	0.145	1.74	-6.053	0.193	1.621	-0.9	122	65.67	0.45	No	Solitary
Artiodactyla	Ruminanta	Cervidae	Dicrocerus	-16	-16	0.269	1.863	-0.098	0.432	1.197	0.201	0.243	1.687	0.14	0.311	1.539	0.544	0.234	1.73	0.933	0.313	1.666	1.415	0.172	1.849	-0.432	0.259	1.865	-0.08	0.163	1.859	-1.695	0.256	1.859	-0.341	0.199	1.81	-0.059	0.315	1.854	3.935	150	47	0.72	Yes	N/A
Artiodactyla	Ruminanta	Palaeomerycidae	Aletomeryx	-16.3	-16.3	0.282	1.873	-0.102	0.377	1.105	0.147	0.255	1.667	-0.329	0.256	1.407	0.176	0.204	1.58	-0.483	0.202	1.447	0.027	0.191	1.542	-0.125	0.201	1.469	-1.345	0.202	1.558	-1.988	0.197	1.425	-2.045	0.191	1.459	2.978	0.133	1.27	0.796	45	16	0.49	Yes	N/A
Artiodactyla	Tylopoda	Camelidae	Procamelus	-16.3	-16.3	0.282	1.873	-0.102	0.377	1.105	0.147	0.255	1.667	-0.329	0.256	1.407	0.176	0.204	1.58	-0.483	0.202	1.447	0.027	0.191	1.542	-0.125	0.201	1.469	-1.345	0.202	1.558	-1.988	0.197	1.425	-2.045	0.191	1.459	2.978	0.133	1.27	0.796	380	310	0.43	Yes	N/A
Artiodactyla	Ruminanta	Giraffidae	Giraffa camelopardalis	-17.8	-17.8	0.23	1.953	0.029	0.294	0.952	-0.046	0.167	1.939	-0.005	0.349	0.935	0.325	0.157	1.933	0.557	0.238	1.045	-0.079	0.155	1.994	1.523	0.287	1.05	-1.227	0.226	2.03	5.192	0.192	1.038	-4.402	0.112	2.133	-115.625	0.095	0.95	84.375	703.9	318.85	0.78	No	Facultative
Artiodactyla	Ruminanta	Giraffidae	Okapia johnstoni	-17.8	-17.8	0.23	1.953	0.029	0.294	0.952	-0.046	0.167	1.939	-0.005	0.349	0.935	0.325	0.157	1.933	0.557	0.238	1.045	-0.079	0.155	1.994	1.523	0.287	1.05	-1.227	0.226	2.03	5.192	0.192	1.038	-4.402	0.112	2.133	-115.625	0.095	0.95	84.375	501	217.07	0.75	No	Solitary
Artiodactyla	Ruminanta	Cervidae	Hydropotes inermis	-19.7	-19.6571	0.316	1.89	0.067	0.295	1.052	0.006	0.222	2.082	-0.336	0.29	0.879	0.018	0.212	1.991	-0.326	0.334	0.846	-0.162	0.14	1.934	-0.671	0.372	0.779	0.451	0.127	1.905	0.907	0.389	0.82	-2.224	0.092	1.955	2.421	0.339	0.65	8.939	53	57.57	0.22	No	Solitary
