Order,Suborder,Family,Species,MYA,Actual MYA,5My_oxy_SD,5My_oxy_M,5My_oxy_slope,5My_carb_SD,5My_carb_M,5My_carb_slope,1Mya_oxy_SD,1Mya_oxy_M,1Mya_oxy_slope,1Mya_carb_SD,1Mya_carb_M,1Mya_carb_slope,400K_oxy_SD,400K_oxy_M,400K_oxy_slope,400K_carb_SD,400K_carb_M,400K_carb_slope,200K_oxy_SD,200K_oxy_M,200K_oxy_slope,200K_carb_SD,200K_carb_M,200K_carb_slope,100K_oxy_SD,100K_oxy_M,100K_oxy_slope,100K_carb_SD,100K_carb_M,100K_carb_slope,40K_oxy_SD,40K_oxy_M,40K_oxy_slope,40K_carb_SD,40K_carb_M,40K_carb_slope,CC,log(CC),Body Estimate,log(Body), EQ = brain mass/(11.22 x body mass^0.76),Fossil,Social
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.0102,-0.01,0.492,3.510,0.267,0.495,0.009,0.071,0.452,4.068,0.189,0.458,0.040,0.243,0.484,4.069,1.101,0.450,0.119,0.038,0.504,4.155,2.028,0.431,0.140,0.972,0.424,4.206,8.348,0.410,0.241,-2.828,0.426,4.455,-6.052,0.360,0.183,-11.399,1430,3.155,,,,Veyrier 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.012,-0.012,0.492,3.510,0.268,0.495,0.009,0.070,0.450,4.070,0.200,0.458,0.039,0.238,0.483,4.068,1.225,0.451,0.116,0.030,0.498,4.158,2.471,0.433,0.140,0.774,0.401,4.224,10.061,0.414,0.242,-3.585,0.322,4.503,4.720,0.375,0.172,-12.746,1555,3.192,,,,Bruniquel 2,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.012,-0.012,0.492,3.510,0.268,0.495,0.009,0.070,0.450,4.070,0.200,0.458,0.039,0.238,0.483,4.068,1.225,0.451,0.116,0.030,0.498,4.158,2.471,0.433,0.140,0.774,0.401,4.224,10.061,0.414,0.242,-3.585,0.322,4.503,4.720,0.375,0.172,-12.746,1434,3.157,,,,Cap Blanc 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.012,-0.012,0.492,3.510,0.268,0.495,0.009,0.070,0.450,4.070,0.200,0.458,0.039,0.238,0.483,4.068,1.225,0.451,0.116,0.030,0.498,4.158,2.471,0.433,0.140,0.774,0.401,4.224,10.061,0.414,0.242,-3.585,0.322,4.503,4.720,0.375,0.172,-12.746,1700,3.230,,,,Chancelade,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.012,-0.012,0.492,3.510,0.268,0.495,0.009,0.070,0.450,4.070,0.200,0.458,0.039,0.238,0.483,4.068,1.225,0.451,0.116,0.030,0.498,4.158,2.471,0.433,0.140,0.774,0.401,4.224,10.061,0.414,0.242,-3.585,0.322,4.503,4.720,0.375,0.172,-12.746,1500,3.176,,,,Oberkassel 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.012,-0.012,0.492,3.510,0.268,0.495,0.009,0.070,0.450,4.070,0.200,0.458,0.039,0.238,0.483,4.068,1.225,0.451,0.116,0.030,0.498,4.158,2.471,0.433,0.140,0.774,0.401,4.224,10.061,0.414,0.242,-3.585,0.322,4.503,4.720,0.375,0.172,-12.746,1370,3.137,,,,Oberkassel 2,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.012,-0.012,0.492,3.510,0.268,0.495,0.009,0.070,0.450,4.070,0.200,0.458,0.039,0.238,0.483,4.068,1.225,0.451,0.116,0.030,0.498,4.158,2.471,0.433,0.140,0.774,0.401,4.224,10.061,0.414,0.242,-3.585,0.322,4.503,4.720,0.375,0.172,-12.746,1565,3.195,,,,San Teodoro 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.012,-0.012,0.492,3.510,0.268,0.495,0.009,0.070,0.450,4.070,0.200,0.458,0.039,0.238,0.483,4.068,1.225,0.451,0.116,0.030,0.498,4.158,2.471,0.433,0.140,0.774,0.401,4.224,10.061,0.414,0.242,-3.585,0.322,4.503,4.720,0.375,0.172,-12.746,1569,3.196,,,,San Teodoro 2,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.012,-0.012,0.492,3.510,0.268,0.495,0.009,0.070,0.450,4.070,0.200,0.458,0.039,0.238,0.483,4.068,1.225,0.451,0.116,0.030,0.498,4.158,2.471,0.433,0.140,0.774,0.401,4.224,10.061,0.414,0.242,-3.585,0.322,4.503,4.720,0.375,0.172,-12.746,1560,3.193,,,,San Teodoro 3,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.012,-0.012,0.492,3.510,0.268,0.495,0.009,0.070,0.450,4.070,0.200,0.458,0.039,0.238,0.483,4.068,1.225,0.451,0.116,0.030,0.498,4.158,2.471,0.433,0.140,0.774,0.401,4.224,10.061,0.414,0.242,-3.585,0.322,4.503,4.720,0.375,0.172,-12.746,1484,3.171,,,,San Teodoro 5,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.015,-0.015,0.492,3.510,0.268,0.495,0.008,0.071,0.449,4.070,0.206,0.459,0.041,0.232,0.485,4.070,1.265,0.453,0.115,0.083,0.500,4.160,2.809,0.435,0.143,0.902,0.411,4.210,11.881,0.412,0.246,-2.683,0.266,4.532,14.696,0.388,0.209,-14.194,1354,3.132,,,,St. Germain-la-Rivie,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.022,-0.0214,0.490,3.507,0.267,0.496,0.009,0.070,0.445,4.062,0.182,0.461,0.044,0.222,0.483,4.056,1.044,0.460,0.110,0.257,0.489,4.119,2.515,0.438,0.145,1.327,0.428,4.111,12.125,0.415,0.277,-1.658,0.244,4.454,11.083,0.383,0.199,1.818,1500,3.176,,,,Zhoukudian 1 UC,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.022,-0.0214,0.490,3.507,0.267,0.496,0.009,0.070,0.445,4.062,0.182,0.461,0.044,0.222,0.483,4.056,1.044,0.460,0.110,0.257,0.489,4.119,2.515,0.438,0.145,1.327,0.428,4.111,12.125,0.415,0.277,-1.658,0.244,4.454,11.083,0.383,0.199,1.818,1380,3.140,,,,Zhoukudian 2 UC,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.022,-0.0214,0.490,3.507,0.267,0.496,0.009,0.070,0.445,4.062,0.182,0.461,0.044,0.222,0.483,4.056,1.044,0.460,0.110,0.257,0.489,4.119,2.515,0.438,0.145,1.327,0.428,4.111,12.125,0.415,0.277,-1.658,0.244,4.454,11.083,0.383,0.199,1.818,1290,3.111,,,,Zhoukudian 3 UC,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.024,-0.024,0.489,3.507,0.266,0.496,0.009,0.070,0.444,4.060,0.180,0.462,0.045,0.217,0.481,4.051,1.023,0.460,0.109,0.283,0.485,4.116,2.211,0.440,0.146,1.418,0.453,4.069,12.817,0.417,0.288,-1.359,0.235,4.436,10.813,0.389,0.200,5.885,1775,3.249,,,,Grotte des Enfants 4,
