Order,Suborder,Family,Species,MYA,Actual MYA,5My_oxy_SD,5My_oxy_M,5My_oxy_slope,5My_carb_SD,5My_carb_M,5My_carb_slope,1Mya_oxy_SD,1Mya_oxy_M,1Mya_oxy_slope,1Mya_carb_SD,1Mya_carb_M,1Mya_carb_slope,400K_oxy_SD,400K_oxy_M,400K_oxy_slope,400K_carb_SD,400K_carb_M,400K_carb_slope,200K_oxy_SD,200K_oxy_M,200K_oxy_slope,200K_carb_SD,200K_carb_M,200K_carb_slope,100K_oxy_SD,100K_oxy_M,100K_oxy_slope,100K_carb_SD,100K_carb_M,100K_carb_slope,40K_oxy_SD,40K_oxy_M,40K_oxy_slope,40K_carb_SD,40K_carb_M,40K_carb_slope,CC,log(CC),Body Estimate,log(Body), EQ = brain mass/(11.22 x body mass^0.76),Fossil,Social
HomininPrimates,Anthropoidea,Hominoidea,Australopithecus afarensis,-3.2,-3.2,0.239,2.999,0.076,0.574,0.081,-0.198,0.222,3.098,0.149,0.340,-0.074,0.187,0.237,3.135,0.351,0.397,-0.028,1.543,0.268,3.210,-2.300,0.453,0.095,5.102,0.245,3.077,-3.204,0.410,0.333,6.835,0.225,2.989,-5.365,0.409,0.543,10.795,445.8,,,,,MEAN,
HomininPrimates,Anthropoidea,Hominoidea,Australopithecus africanus,-2.8,-2.8,0.258,3.038,0.102,0.563,0.067,-0.144,0.252,3.195,0.338,0.423,-0.023,0.281,0.243,3.278,0.909,0.480,0.019,0.143,0.244,3.347,1.697,0.495,0.046,0.726,0.218,3.421,1.912,0.496,0.107,1.580,0.234,3.513,2.674,0.523,0.146,-6.101,458.25,,,,,MEAN,
HomininPrimates,Anthropoidea,Hominoidea,Australopithecus garhi,-2.5,-2.5,0.299,3.084,0.133,0.558,0.059,-0.115,0.305,3.324,0.557,0.485,0.009,0.071,0.294,3.498,0.749,0.526,0.033,-0.563,0.317,3.561,1.235,0.541,-0.007,-1.216,0.327,3.597,5.488,0.571,-0.035,-6.074,0.322,3.832,-5.533,0.550,-0.338,15.992,450,,,,,Bou-VP-12/130,
HomininPrimates,Anthropoidea,Hominoidea,Homo erectus,-1.66,-1.66,0.375,3.223,0.191,0.546,0.024,-0.039,0.287,3.658,0.189,0.566,0.024,0.197,0.260,3.696,0.410,0.561,0.121,0.595,0.270,3.731,1.169,0.623,0.169,2.028,0.283,3.793,3.441,0.574,0.318,1.812,0.279,3.863,9.760,0.653,0.381,10.596,1004.15597,,,,,MEAN,
HomininPrimates,Anthropoidea,Hominoidea,Homo ergaster,-1.78,-1.78,0.369,3.208,0.187,0.546,0.024,-0.053,0.292,3.628,0.235,0.553,0.001,0.052,0.269,3.709,-0.138,0.580,0.011,0.651,0.254,3.699,0.326,0.559,0.072,-0.135,0.239,3.697,2.182,0.618,0.069,-1.969,0.254,3.761,6.338,0.625,0.020,-3.071,892.2328333,,,,,MEAN,
HomininPrimates,Anthropoidea,Hominoidea,Homo georgicus,-1.77,-1.77,0.369,3.209,0.187,0.546,0.023,-0.052,0.292,3.630,0.220,0.552,0.000,0.059,0.270,3.707,-0.172,0.577,0.010,0.654,0.250,3.707,-0.107,0.559,0.061,0.023,0.244,3.698,1.272,0.610,0.048,-1.554,0.252,3.758,-3.005,0.613,0.002,-3.223,675,,,,,MEAN,
HomininPrimates,Anthropoidea,Hominoidea,Homo habilis,-1.89,-1.89,0.362,3.192,0.183,0.546,0.026,-0.063,0.297,3.598,0.305,0.542,0.005,-0.080,0.272,3.679,0.241,0.556,-0.026,0.492,0.278,3.711,-0.628,0.554,0.015,1.238,0.267,3.691,1.019,0.509,0.043,0.446,0.292,3.737,-8.490,0.512,0.052,-0.060,574.6819,,,,,MEAN,
HomininPrimates,Anthropoidea,Hominoidea,Homo heidelbergensis,-0.8,-0.8,0.424,3.333,0.228,0.534,0.013,0.044,0.348,3.837,0.163,0.560,0.241,-0.368,0.358,3.867,0.746,0.541,0.126,-1.556,0.357,3.934,1.057,0.487,-0.074,-1.452,0.375,4.020,-2.987,0.445,-0.166,6.146,0.255,3.979,13.572,0.414,0.009,1.586,1261.888238,,,,,MEAN,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.23,-0.229,0.477,3.460,0.266,0.509,0.008,0.058,0.429,4.006,0.265,0.483,0.060,-0.160,0.460,4.034,0.346,0.452,0.083,-0.464,0.479,3.994,1.588,0.480,0.064,-0.693,0.418,4.022,5.275,0.425,0.042,-0.064,0.406,4.159,-19.514,0.452,0.012,15.315,1403.921593,,,,,MEAN,
HomininPrimates,Anthropoidea,Hominoidea,Homo rudolfensis,-1.88,-1.88,0.363,3.194,0.183,0.546,0.026,-0.061,0.296,3.601,0.301,0.540,0.009,-0.072,0.273,3.677,0.307,0.554,-0.017,0.572,0.272,3.699,-0.259,0.542,0.037,1.249,0.265,3.702,0.704,0.498,0.073,0.987,0.292,3.737,-10.748,0.471,0.089,9.554,727,,,,,MEAN,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.195,-0.195,0.476,3.465,0.262,0.508,0.007,0.062,0.432,3.994,0.243,0.487,0.065,-0.104,0.455,4.028,-0.204,0.452,0.088,-0.133,0.411,4.019,-1.201,0.436,0.060,0.988,0.402,4.013,-6.433,0.467,0.093,5.076,0.371,3.812,-19.581,0.480,0.233,12.066,1485.833328,,,,,MEAN,
HomininPrimates,Anthropoidea,Hominoidea,Ardipithecus ramidus,-4.4,-4.4,0.239,2.942,0.063,0.672,0.229,-0.323,0.226,2.986,0.289,0.574,-0.063,-0.676,0.185,3.057,-0.381,0.371,-0.235,0.030,0.180,3.017,-1.023,0.391,-0.225,1.372,0.179,2.944,0.592,0.387,-0.123,-0.168,0.147,2.965,3.920,0.266,-0.105,0.837,300,,500,,,ARA-VP-6/500 ,
