Species,Cranial Capacity (cc)
Homo sapiens,1206.98
Ateles paniscus,105.17
Cebus albifrons,60.76
Macaca nigra,94.11
Macaca nemestrina,106.18
Cebus capucinus,67.70
Macaca assamensis,87.36
Cebus apella,68.82
Cebus olivaceus,69.98
Lagothrix lagotricha,86.25
Macaca sinica,56.13
Theropithecus gelada,125.48
Cercocebus agilis,91.99
Mandrillus sphinx,153.67
Ateles geoffroyi,101.32
Lophocebus albigena,93.44
Pan paniscus,318.24
Cercopithecus cephus,73.36
Macaca mulatta,84.94
Semnopithecus entellus,107.63
Cercopithecus mona,64.67
Macaca fascicularis,64.60
Hylobates lar,90.73
Hylobates muelleri,92.00
Saimiri sciureus,22.54
Papio hamadryas,137.07
Hylobates agilis,85.04
Pongo pygmaeus,330.11
Chlorocebus aethiops,61.90
Saimiri oerstedii,21.67
Ateles fusciceps,109.65
Aotus lemurinus,109.56
Pan troglodytes,342.48
Erythrocebus patas,96.72
Hylobates syndactylus,130.12
Macaca maura,91.20
Macaca arctoides,97.20
Saimiri boliviensis,23.22
Pithecia monachus,33.78
Gorilla gorilla,438.75
Trachypithecus francoisi,91.12
Cercopithecus mitis,72.39
Eulemur rubriventer,24.03
Alouatta seniculus,43.92
Daubentonia madagascariensis,43.58
Procolobus badius,75.29
Pygathrix nemaeus,74.32
Colobus guereza,80.98
Macaca sylvanus,84.65
Callicebus moloch,18.34
Aotus trivirgatus,15.48
Leontopithecus rosalia,12.60
Alouatta caraya,48.94
Colobus angolensis,71.81
Saguinus oedipus,9.31
Saguinus geoffroyi,13.78
Eulemur mongoz,23.20
Varecia variegata,30.12
Alouatta palliata,48.30
Nycticebus coucang,12.30
Callithrix pygmaea,4.48
Galagoides demidoff,3.26
Callithrix jacchus,7.46
Eulemur macaco,21.81
Lemur catta,20.88
Indri indri,36.97
Propithecus verreauxi,25.77
Perodicticus potto,11.65
Tarsius bancanus,2.61
Galago senegalensis,5.69
Nycticebus pygmaeus,7.53
Loris tardigradus,5.79
Cheirogaleus major,6.56
Microcebus murinus,1.78
Cheirogaleus medius,3.23
Avahi laniger,10.13
