These data should be cited as:
Marlow. J.R., Lange. C.B., Wefer. G., Rosell-Mele. A. (2000) Upwelling intensification as part of the Pliocene-Pleistocene climate transition. Science, 290, 2288-2291. 

Age (Myrs)	UK37'	SST (degC)
0.093	0.576	16.1
0.099	0.617	17.4
0.104	0.636	17.9
0.109	0.524	14.5
0.114	0.499	13.8
0.120	0.490	13.5
0.125	0.455	12.5
0.130	0.470	12.9
0.142	0.508	14.1
0.181	0.525	14.6
0.214	0.534	14.9
0.247	0.651	18.4
0.300	0.452	12.3
0.365	0.666	18.8
0.399	0.506	14.0
0.429	0.492	13.6
0.497	0.644	18.2
0.556	0.500	13.8
0.619	0.569	15.9
0.676	0.434	11.8
0.727	0.546	15.2
0.777	0.513	14.2
0.828	0.463	12.7
0.859	0.635	17.9
0.881	0.537	14.9
0.903	0.595	16.7
0.942	0.558	15.6
0.964	0.530	14.7
1.014	0.613	17.2
1.050	0.597	16.8
1.117	0.658	18.6
1.149	0.678	19.2
1.236	0.609	17.1
1.306	0.701	19.9
1.339	0.718	20.4
1.407	0.679	19.2
1.468	0.705	20.0
1.500	0.648	18.3
1.569	0.729	20.8
1.633	0.747	21.3
1.658	0.677	19.2
1.714	0.638	18.0
1.748	0.718	20.4
1.801	0.684	19.4
1.834	0.716	20.4
1.920	0.642	18.1
1.975	0.665	18.8
1.984	0.667	18.9
2.037	0.722	20.5
2.089	0.778	22.2
2.141	0.757	21.6
2.192	0.788	22.5
2.243	0.784	22.4
2.295	0.818	23.4
2.347	0.777	22.2
2.398	0.862	24.8
2.429	0.811	23.2
2.430	0.793	22.7
2.435	0.790	22.6
2.440	0.839	24.1
2.445	0.821	23.5
2.450	0.819	23.5
2.455	0.776	22.2
2.460	0.738	21.0
2.465	0.803	23.0
2.470	0.824	23.6
2.475	0.797	22.8
2.497	0.855	24.6
2.545	0.810	23.2
2.614	0.841	24.1
2.652	0.815	23.4
2.710	0.851	24.5
2.749	0.816	23.4
2.800	0.756	21.6
2.845	0.848	24.4
2.902	0.848	24.4
2.941	0.863	24.8
3.000	0.822	23.6
3.032	0.854	24.5
3.101	0.861	24.8
3.120	0.847	24.3
3.193	0.837	24.0
3.220	0.903	26.0
3.323	0.888	25.6
3.380	0.891	25.7
3.418	0.907	26.2
3.475	0.887	25.6
3.480	0.877	25.2
3.485	0.871	25.1
3.490	0.868	25.0
3.495	0.904	26.1
3.499	0.911	26.3
3.505	0.918	26.5
3.510	0.929	26.8
3.514	0.932	26.9
3.520	0.897	25.9
3.525	0.889	25.6
3.530	0.914	26.4
3.545	0.909	26.2
3.611	0.913	26.3
3.669	0.836	24.0
3.708	0.900	25.9
3.765	0.932	26.9
3.803	0.946	27.3
3.828	0.903	26.0
3.867	0.897	25.9
3.880	0.919	26.5
4.126	0.907	26.2
4.149	0.855	24.6
4.196	0.900	25.9
4.245	0.920	26.6
4.349	0.925	26.7
4.557	0.908	26.2
4.569	0.926	26.7
4.580	0.905	26.1
